annee_de_publication,nature,organisme_preteur_ou_chef_de_file,date_d_emission_ou_date_de_mobilisation,date_de_derniere_echeance,capital_initial,capital_restant_du_au_31_12_2016,type_de_taux_d_interet,index,taux_initial_niveau_de_taux,taux_initial_taux_actuariel,profil_d_amortissement,possibilite_de_remboursement,categorie_d_emprunt
2017,1641 - Emprunts établissements crédit,31 - Helaba,2016-10-19,2041-10-18,40000000.0,40000000.0,Fixe,TAUX FIXE,1.278,1.2782,Emprunt in fine,oui,A-1
2016,16311 - Emissions obligataires,Goldman Sachs,2015-10-01,2030-05-25,40000000.0,40000000.0,Fixe,TAUX FIXE,1.214,1.2149,Emprunt in fine,non,A-1
2015,16311 - Emissions obligataires,Société Générale,2013-10-01,2027-10-01,125000000.0,125000000.0,Fixe,TAUX FIXE,3.155,3.1552,Emprunt in fine,non,A-1
2008,1641 - Emprunts établissements crédit,BEI,2006-12-28,2010-12-28,50000000.0,50000000.0,Indexé,EURIBOR03M,0.801,2.8883,Emprunt in fine,oui,A-1
2017,16311 - Emissions obligataires,106 - Citi,2013-12-11,2029-01-15,60000000.0,60000000.0,Fixe,TAUX FIXE,3.0,3.0001,Emprunt in fine,non,A-1
2016,1641 - Emprunts établissements crédit,CREDIT AGRICOLE IDF,2016-09-03,2026-03-03,873006.92,853607.66,Fixe,TAUX FIXE,3.5700000000000003,3.62,Échéance constante,non,A-1
2013,16311 - Emissions obligataires,Natixis,2013-10-17,2028-06-21,50000000.0,50000000.0,Fixe,TAUX FIXE,2.886,2.8872,Emprunt in fine,oui,A-1
2009,1641 - Emprunts établissements crédit,C.D.C.,1955-10-25,2020-03-31,5328.64,1588.07,Fixe,TAUX FIXE,2.0,1.3806,Échéance constante,oui,A-1
2014,1641 - Emprunts établissements crédit,SOCIETE GENERALE,2005-12-28,2019-12-28,25000000.0,25000000.0,Indexé,TAG01M,0.0,1.0218,Emprunt in fine,non,A-1
2017,16311 - Emissions obligataires,92 - HSBC,2010-12-02,2024-12-02,100000000.0,100000000.0,Fixe,TAUX FIXE,3.5,3.5000999999999998,Emprunt in fine,non,A-1
